Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-2,461;-2,223333333;-2,035483871;-1,902903226;-2,072142857;-2,679354839;-3,268333333;-3,574516129;-3,586;-3,370645161;-3,074516129;-2,759
-5;-2,613333333;-2,388;-2,199354839;-2,05;-2,071428571;-2,458709677;-2,986333333;-3,339677419;-3,453666667;-3,349032258;-3,131935484;-2,875666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83290323;-19,63285714;-12,10419355;-7,852333333;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;0,729666667;-1,797333333;-5,727741935;-8,341290323;-8,645714286;-5,556774194;-3,824666667;-0,841612903;1,278;4,237096774;4,377096774;2,218666667
-0,5;0,522666667;-0,321666667;-3,369032258;-6,313548387;-7,292142857;-5,228387097;-3,967666667;-1,737096774;-0,327333333;1,592258065;2,602903226;1,532
-0,75;0,306;0,002666667;-1,633870968;-4,771290323;-6,205357143;-4,985806452;-4,023666667;-2,322580645;-0,979333333;-0,019032258;1,275806452;0,968666667
-1;0,149666667;-0,013;-0,804193548;-3,788387097;-5,446071429;-4,787419355;-3,991;-2,610645161;-1,333666667;-0,621612903;0,447419355;0,566333333
-1,5;-0,208666667;-0,227666667;-0,320967742;-2,183548387;-4,053571429;-4,27;-3,798333333;-2,922903226;-1,863;-1,260967742;-0,663225806;-0,254
-2;-0,627;-0,561666667;-0,534193548;-1,279354839;-2,930714286;-3,638709677;-3,488;-2,981290323;-2,189666667;-1,652903226;-1,18483871;-0,807666667
-2,5;-0,974666667;-0,860333333;-0,789677419;-0,994193548;-2,110357143;-2,997096774;-3,123333333;-2,893548387;-2,362;-1,908709677;-1,527419355;-1,194333333
-3;-1,250666667;-1,111666667;-1,016129032;-1,017096774;-1,609642857;-2,429677419;-2,747;-2,720967742;-2,413333333;-2,062580645;-1,753870968;-1,472
-3,5;-1,462333333;-1,315666667;-1,206129032;-1,141290323;-1,386071429;-1,998064516;-2,398333333;-2,51;-2,378666667;-2,138387097;-1,897741935;-1,666333333
-4;-1,618333333;-1,476;-1,360967742;-1,273548387;-1,334642857;-1,713225806;-2,100666667;-2,296129032;-2,293666667;-2,15483871;-1,979677419;-1,796333333
-4,5;-1,727;-1,595666667;-1,483225806;-1,388387097;-1,366071429;-1,559032258;-1,873333333;-2,104193548;-2,186333333;-2,133548387;-2,015806452;-1,876
-5;-1,795666667;-1,678333333;-1,570967742;-1,478064516;-1,421428571;-1,498064516;-1,724333333;-1,950645161;-2,08;-2,088387097;-2,02;-1,917
