Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-5;-0,332;-0,412666667;-0,86483871;-1,873548387;-3,116785714;-4,110967742;-4,453666667;-4,290322581;-3,650333333;-2,756451613;-1,611612903;-0,733333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,8;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313548387;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,652333333;-1,856666667;-5,302903226;-7,999677419;-8,313214286;-5,457419355;-3,385333333;-0,632903226;1,507;4,678064516;4,046129032;2,753
-0,5;0,755;-1,462333333;-4,575483871;-7,336129032;-8,034642857;-5,328387097;-3,728333333;-1,04483871;1,010333333;4,00516129;3,723870968;2,747
-0,75;0,835333333;-1,115666667;-3,942903226;-6,719354839;-7,647142857;-5,268709677;-3,960333333;-1,404516129;0,557;3,356129032;3,407096774;2,699333333
-1;0,895;-0,817666667;-3,379677419;-6,136451613;-7,213214286;-5,228709677;-4,120333333;-1,72516129;0,141;2,742580645;3,092580645;2,615666667
-1,5;0,960333333;-0,370666667;-2,45516129;-5,072258065;-6,301785714;-5,130967742;-4,264333333;-2,241290323;-0,573333333;1,656774194;2,462903226;2,347333333
-2;0,955;-0,085666667;-1,763548387;-4,138709677;-5,432857143;-4,938709677;-4,249;-2,615483871;-1,141666667;0,757741935;1,836774194;1,986666667
-2,5;0,882333333;0,073666667;-1,266774194;-3,338709677;-4,645;-4,648387097;-4,132666667;-2,867741935;-1,582333333;0,027741935;1,233225806;1,578
-3;0,757;0,140333333;-0,920967742;-2,672258065;-3,95;-4,287096774;-3,952666667;-3,013870968;-1,913333333;-0,553548387;0,667741935;1,151
-3,5;0,586333333;0,135;-0,693225806;-2,136129032;-3,346428571;-3,891290323;-3,734666667;-3,071612903;-2,150333333;-1,011935484;0,158064516;0,733333333
-4;0,383666667;0,079;-0,554516129;-1,718064516;-2,8325;-3,488064516;-3,494;-3,058064516;-2,309333333;-1,361612903;-0,287741935;0,339
-4,5;0,166;-0,013333333;-0,483548387;-1,403225806;-2,403214286;-3,100967742;-3,242;-2,987741935;-2,400666667;-1,622258065;-0,667741935;-0,020333333
-5;-0,060666667;-0,130666667;-0,463225806;-1,176451613;-2,049642857;-2,746129032;-2,988666667;-2,881935484;-2,441666667;-1,809677419;-0,981290323;-0,343666667
