Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-2,751666667;-2,627666667;-2,517096774;-2,421612903;-2,5175;-3,122580645;-3,523333333;-3,615806452;-3,463666667;-3,259354839;-3,065483871;-2,9
-5;-0,33;-0,41;-0,86;-1,87;-3,12;-4,11;-4,45;-4,29;-3,65;-2,76;-1,61;-0,73
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,840666667;-4,548;-12,27096774;-17,4083871;-16,89428571;-11,37129032;-5,861;-0,433548387;3,395666667;8,918064516;7,29483871;4,537333333
-0,25;0,173666667;-0,073333333;-1,250967742;-5,423870968;-8,155714286;-5,40483871;-4,097666667;-1,818064516;-0,907666667;-0,235483871;0,877419355;0,881
-0,5;-0,335;-0,288;-0,279354839;-3,174193548;-7,373571429;-5,327419355;-4,387666667;-2,298709677;-1,376333333;-0,917741935;-0,637096774;-0,448333333
-0,75;-0,554333333;-0,49;-0,451935484;-2,350645161;-6,591785714;-5,189354839;-4,362;-2,483548387;-1,587666667;-1,134516129;-0,848387097;-0,671666667
-1;-0,724333333;-0,651;-0,602580645;-1,793870968;-5,833571429;-5,029677419;-4,297333333;-2,627419355;-1,763666667;-1,32;-1,030967742;-0,847333333
-1,5;-1,009;-0,918666667;-0,854193548;-1,235483871;-4,429642857;-4,63483871;-4,077;-2,810322581;-2,028;-1,610322581;-1,332258065;-1,145666667
-2;-1,247333333;-1,149666667;-1,075483871;-1,129032258;-3,264285714;-4,14516129;-3,777;-2,873225806;-2,201333333;-1,821935484;-1,565483871;-1,385333333
-2,5;-1,447333333;-1,349333333;-1,272258065;-1,233225806;-2,431428571;-3,591935484;-3,431333333;-2,841935484;-2,303;-1,970967742;-1,743225806;-1,577333333
-3;-1,615333333;-1,522333333;-1,446774194;-1,388064516;-1,949642857;-3,019677419;-3,059666667;-2,737741935;-2,346666667;-2,07483871;-1,88;-1,733333333
-3,5;-1,757;-1,673;-1,601290323;-1,540967742;-1,725;-2,473548387;-2,680666667;-2,582903226;-2,344666667;-2,143548387;-1,985483871;-1,861
-4;-1,868666667;-1,797;-1,732258065;-1,67483871;-1,670714286;-2,025483871;-2,320666667;-2,392580645;-2,299333333;-2,174193548;-2,056129032;-1,956333333
-4,5;-1,929333333;-1,870666667;-1,816129032;-1,766774194;-1,728928571;-1,826451613;-2,050333333;-2,185483871;-2,195666667;-2,140967742;-2,068709677;-1,997
-5;-0,06;-0,13;-0,46;-1,18;-2,05;-2,75;-2,99;-2,88;-2,44;-1,81;-0,98;-0,34
