Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-2,920322581;-2,769666667;-2,640645161;-2,533225806;-2,726785714;-3,474516129;-3,905333333;-3,945806452;-3,753;-3,506451613;-3,279354839;-3,088
-5;-0,14;-0,22;-0,80;-2,00;-3,33;-4,40;-4,79;-4,58;-3,84;-2,81;-1,53;-0,52
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,591935484;-5,750666667;-14,36387097;-18,65290323;-18,80321429;-12,23483871;-6,004;0,184516129;4,328666667;10,23032258;9,101935484;4,684
-0,25;0,526129032;-0,096333333;-1,816451613;-6,179677419;-8,82;-6,099354839;-4,149666667;-1,970967742;-0,816333333;0,040645161;1,603225806;1,141666667
-0,5;-0,184516129;-0,144;-0,19483871;-3,853870968;-7,99;-6,049354839;-4,474;-2,483225806;-1,343666667;-0,874516129;-0,575483871;-0,33
-0,75;-0,473548387;-0,397333333;-0,371935484;-2,831290323;-7,189285714;-5,880967742;-4,491666667;-2,669677419;-1,589;-1,112258065;-0,814516129;-0,612666667
-1;-0,676129032;-0,591333333;-0,542258065;-2,137096774;-6,411785714;-5,686129032;-4,466;-2,812903226;-1,792;-1,31516129;-1,015806452;-0,814666667
-1,5;-0,997096774;-0,895333333;-0,826774194;-1,406451613;-4,959642857;-5,21516129;-4,311;-2,996774194;-2,105;-1,640322581;-1,347741935;-1,146
-2;-1,265806452;-1,155333333;-1,074193548;-1,200645161;-3,725714286;-4,650967742;-4,052666667;-3,062903226;-2,315333333;-1,880967742;-1,607741935;-1,413666667
-2,5;-1,491612903;-1,381;-1,296451613;-1,270967742;-2,794642857;-4,028709677;-3,727;-3,037741935;-2,443666667;-2,06;-1,811612903;-1,631333333
-3;-1,682258065;-1,577333333;-1,492903226;-1,431935484;-2,203214286;-3,384193548;-3,354333333;-2,943225806;-2,509666667;-2,191290323;-1,972580645;-1,811666667
-3,5;-1,845483871;-1,749;-1,669032258;-1,600967742;-1,887857143;-2,765483871;-2,961333333;-2,797741935;-2,524;-2,28516129;-2,103225806;-1,961
-4;-1,979032258;-1,893333333;-1,819032258;-1,754193548;-1,773571429;-2,243548387;-2,574;-2,613225806;-2,491666667;-2,337419355;-2,196129032;-2,079333333
-4,5;-2,056774194;-1,984666667;-1,92;-1,861935484;-1,824642857;-1,983548387;-2,264;-2,398064516;-2,391;-2,316451613;-2,22483871;-2,138
-5;0,10;0,03;-0,39;-1,24;-2,18;-2,93;-3,21;-3,07;-2,56;-1,82;-0,90;-0,16
