Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-1,970333333;-1,768666667;-1,61;-1,486774194;-1,510714286;-1,988387097;-2,588333333;-2,908064516;-2,905333333;-2,724193548;-2,481290323;-2,219333333
-5;-2,100666667;-1,911;-1,751290323;-1,622903226;-1,568571429;-1,812258065;-2,304;-2,673225806;-2,783333333;-2,699354839;-2,527419355;-2,317666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;0,797333333;-1,634;-6,173225806;-8,701290323;-8,766071429;-5,475806452;-2,813666667;0,286129032;2,702666667;5,45;4,285483871;3,226666667
-0,5;0,666333333;-0,209666667;-3,502258065;-6,350322581;-7,257142857;-5,041612903;-3,211666667;-0,920967742;0,499;2,923225806;2,828709677;2,4
-0,75;0,519333333;0,047666667;-1,565806452;-4,568709677;-6,041071429;-4,710645161;-3,439333333;-1,522258065;-0,547666667;1,086451613;1,738709677;1,740333333
-1;0,396333333;0,036333333;-0,658064516;-3,412258065;-5,173571429;-4,463225806;-3,481666667;-1,828387097;-0,914;0,121612903;1,043225806;1,266666667
-1,5;0,086333333;-0,045666667;-0,108064516;-1,49;-3,562857143;-3,862580645;-3,338666667;-2,206774194;-1,408;-0,852258065;-0,221935484;0,278333333
-2;-0,314666667;-0,291666667;-0,300322581;-0,654516129;-2,275;-3,143548387;-3,012;-2,337419355;-1,698;-1,25;-0,812258065;-0,479
-2,5;-0,669666667;-0,578666667;-0,533870968;-0,564516129;-1,408928571;-2,423548387;-2,611;-2,301290323;-1,839;-1,48;-1,144193548;-0,866
-3;-0,932333333;-0,814333333;-0,741290323;-0,699032258;-0,998928571;-1,813548387;-2,202333333;-2,152258065;-1,872333333;-1,60516129;-1,349032258;-1,119
-3,5;-1,121666667;-1;-0,912580645;-0,848709677;-0,907857143;-1,39483871;-1,833;-1,95;-1,829333333;-1,653548387;-1,467741935;-1,284333333
-4;-1,251333333;-1,138666667;-1,047419355;-0,976451613;-0,951785714;-1,173548387;-1,538;-1,736451613;-1,739666667;-1,649354839;-1,526129032;-1,388
-4,5;-1,336333333;-1,236;-1,149032258;-1,07516129;-1,025357143;-1,092258065;-1,334333333;-1,549032258;-1,634333333;-1,613225806;-1,543225806;-1,446
-5;-1,384333333;-1,298;-1,217096774;-1,146774194;-1,089642857;-1,085806452;-1,217333333;-1,407741935;-1,532333333;-1,563225806;-1,534193548;-1,469333333
