Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-5;0,95;0,774666667;0,101935484;-1,24483871;-2,771428571;-3,922580645;-4,263666667;-3,900967742;-2,932333333;-1,689354839;-0,36483871;0,584333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,147741935;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;1,408333333;-2,094666667;-6,37;-9,091935484;-9,342142857;-5,461935484;-2,588666667;1,381935484;4,056333333;6,602258065;5,601612903;3,902333333
-0,5;1,566666667;-1,540666667;-5,403225806;-8,370322581;-8,899642857;-5,544516129;-2,997;0,682580645;3,473333333;5,821935484;5,334516129;3,931666667
-0,75;1,696;-1,041;-4,572258065;-7,68;-8,383571429;-5,612903226;-3,31;0,091290323;2,884;5,100967742;5,044516129;3,91
-1;1,801666667;-0,602333333;-3,83483871;-7,01;-7,843571429;-5,65;-3,555333333;-0,423870968;2,314666667;4,428387097;4,736774194;3,844333333
-1,5;1,934333333;0,076;-2,62516129;-5,741935484;-6,774285714;-5,591612903;-3,857666667;-1,248709677;1,286666667;3,237096774;4,069032258;3,598
-2;1,971666667;0,530333333;-1,700967742;-4,585806452;-5,779285714;-5,354516129;-3,969666667;-1,854516129;0,423;2,231290323;3,367741935;3,238333333
-2,5;1,923;0,811;-1,011290323;-3,568709677;-4,877142857;-4,978387097;-3,942;-2,274193548;-0,282333333;1,388709677;2,666129032;2,810666667
-3;1,803666667;0,954666667;-0,51;-2,706129032;-4,07;-4,513225806;-3,816666667;-2,538387097;-0,837333333;0,686774194;1,997096774;2,355666667
-3,5;1,628333333;1,001;-0,160645161;-1,997419355;-3,358214286;-4,008064516;-3,619;-2,67516129;-1,260333333;0,112903226;1,382903226;1,895
-4;1,411666667;0,971333333;0,071612903;-1,434516129;-2,736428571;-3,499032258;-3,376333333;-2,709677419;-1,565333333;-0,350967742;0,835483871;1,451
-4,5;1,167666667;0,889333333;0,21;-1,002258065;-2,204642857;-3,014193548;-3,102;-2,667741935;-1,769666667;-0,717096774;0,363870968;1,034333333
-5;0,912666667;0,770333333;0,277096774;-0,681290323;-1,755714286;-2,567096774;-2,813333333;-2,568387097;-1,888333333;-0,995483871;-0,033548387;0,655666667
