Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-5;1,370645161;1,180666667;0,550645161;-0,62483871;-1,957142857;-2,930645161;-3,197333333;-2,87;-2,026;-1,011612903;0,167419355;1,068666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,93483871;-4,642333333;-13,20096774;-17,78516129;-16,72607143;-8,554193548;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;1,47;-1,735;-5,25;-7,752903226;-7,6025;-4,206774194;-1,952666667;1,761935484;3,532;6,192580645;5,768064516;3,606666667
-0,5;1,661290323;-1,259333333;-4,38516129;-7,109354839;-7,2275;-4,326774194;-2,274666667;1,168709677;2,985;5,488387097;5,483548387;3,696
-0,75;1,806451613;-0,816666667;-3,650322581;-6,493548387;-6,802142857;-4,414516129;-2,524333333;0,657419355;2,465333333;4,834516129;5,176774194;3,734333333
-1;1,921612903;-0,418333333;-3,00483871;-5,896451613;-6,361785714;-4,469032258;-2,72;0,202903226;1,986666667;4,226451613;4,85516129;3,726333333
-1,5;2,058387097;0,220333333;-1,949032258;-4,767741935;-5,482857143;-4,449032258;-2,966666667;-0,547419355;1,168;3,158387097;4,177741935;3,575
-2;2,100322581;0,670333333;-1,149354839;-3,741612903;-4,653214286;-4,263548387;-3,057;-1,114516129;0,510333333;2,26483871;3,480322581;3,291333333
-2,5;2,065806452;0,963333333;-0,55483871;-2,836774194;-3,891428571;-3,951935484;-3,033;-1,517419355;-0,019;1,521290323;2,802580645;2,928666667
-3;1,968387097;1,130333333;-0,122258065;-2,067741935;-3,204285714;-3,559032258;-2,926666667;-1,774193548;-0,439333333;0,908064516;2,170322581;2,525
-3,5;1,818064516;1,201333333;0,182580645;-1,436129032;-2,591071429;-3,125483871;-2,762333333;-1,91516129;-0,761333333;0,410322581;1,603870968;2,112333333
-4;1,632258065;1,196333333;0,387741935;-0,932580645;-2,0525;-2,689032258;-2,555333333;-1,96;-0,999666667;0,011612903;1,10516129;1,709
-4,5;1,421290323;1,139333333;0,516774194;-0,54483871;-1,588214286;-2,269032258;-2,324;-1,934516129;-1,162;-0,298064516;0,680645161;1,33
-5;1,197741935;1,046666667;0,583225806;-0,255806452;-1,195357143;-1,881935484;-2,078;-1,855483871;-1,259333333;-0,531935484;0,329032258;0,984333333
