Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-2,697333333;-2,592333333;-2,49516129;-2,405806452;-2,346071429;-2,442580645;-2,732333333;-2,959677419;-3,036333333;-3,000645161;-2,912903226;-2,808
-5;-2,723;-2,644333333;-2,566129032;-2,489677419;-2,426785714;-2,429677419;-2,573333333;-2,757419355;-2,869;-2,894193548;-2,860322581;-2,799
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,148064516;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;1,042666667;-0,892333333;-4,814193548;-8,189354839;-8,816428571;-5,228387097;-2,906666667;-0,500645161;1,893333333;4,59516129;4,157419355;2,874333333
-0,5;0,649333333;-0,147333333;-2,496774194;-6,580322581;-7,845;-5,048709677;-3,224333333;-1,293225806;-0,222666667;1,849677419;2,467419355;1,874666667
-0,75;0,250666667;-0,077;-0,915806452;-5,048387097;-6,827142857;-4,85;-3,393;-1,724193548;-0,93;-0,15483871;0,789354839;0,848
-1;-0,159666667;-0,230333333;-0,408709677;-3,647741935;-5,795714286;-4,608064516;-3,45;-2,033225806;-1,312666667;-0,852258065;-0,387096774;-0,074
-1,5;-0,808333333;-0,741333333;-0,704516129;-1,732580645;-3,825714286;-3,972580645;-3,331333333;-2,429032258;-1,842;-1,46483871;-1,159677419;-0,942333333
-2;-1,242;-1,138333333;-1,063870968;-1,166774194;-2,291428571;-3,146129032;-3,004;-2,555483871;-2,128;-1,824193548;-1,58483871;-1,392666667
-2,5;-1,521333333;-1,418;-1,334193548;-1,28;-1,571785714;-2,330322581;-2,569333333;-2,451935484;-2,205;-1,985483871;-1,80483871;-1,652666667
-3;-1,681666667;-1,594;-1,517419355;-1,451935484;-1,466071429;-1,803225806;-2,147333333;-2,230645161;-2,146333333;-2,017741935;-1,893870968;-1,783
-3,5;-1,758333333;-1,691333333;-1,628709677;-1,571612903;-1,533571429;-1,612903226;-1,839;-1,991935484;-2,015666667;-1,971290323;-1,901612903;-1,83
-4;-1,777666667;-1,731333333;-1,685806452;-1,640322581;-1,601785714;-1,597096774;-1,682;-1,803548387;-1,873666667;-1,88516129;-1,86;-1,822666667
-4,5;-1,760666667;-1,733333333;-1,702903226;-1,670645161;-1,64;-1,615483871;-1,631;-1,691290323;-1,754;-1,787741935;-1,795483871;-1,783333333
-5;-1,723;-1,710333333;-1,692903226;-1,671612903;-1,650714286;-1,63;-1,62;-1,637741935;-1,674;-1,706451613;-1,725483871;-1,73
