Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-3,091333333;-2,926;-2,785483871;-2,685483871;-3,103928571;-3,953548387;-4,310666667;-4,29516129;-4,035;-3,748709677;-3,49483871;-3,283333333
-5;-0,14;-0,32;-0,97;-2,29;-3,79;-4,85;-5,15;-4,87;-4,03;-2,85;-1,50;-0,53
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,603870968;-6,501666667;-16,20451613;-21,08322581;-18,98107143;-12,12548387;-6,045;0,817096774;5,712666667;11,16580645;8,665483871;5,066666667
-0,25;0,324333333;-0,141333333;-2,308709677;-7,678064516;-9,262857143;-6,073548387;-4,275333333;-1,786129032;-0,752;0,48483871;1,641612903;1,369
-0,5;-0,086333333;-0,122666667;-0,211290323;-5,491612903;-8,591785714;-6,089354839;-4,609333333;-2,35;-1,314666667;-0,832903226;-0,531612903;-0,198333333
-0,75;-0,408;-0,362666667;-0,354193548;-4,227096774;-7,872857143;-5,984193548;-4,626666667;-2,579677419;-1,569333333;-1,086451613;-0,788064516;-0,565333333
-1;-0,636;-0,564;-0,527419355;-3,286451613;-7,162857143;-5,849677419;-4,604;-2,765483871;-1,785333333;-1,306129032;-1,002580645;-0,792666667
-1,5;-0,988666667;-0,889333333;-0,826451613;-2,124193548;-5,807142857;-5,480967742;-4,459333333;-3,021935484;-2,123666667;-1,659032258;-1,360967742;-1,153666667
-2;-1,284;-1,170333333;-1,091935484;-1,587096774;-4,5925;-4,990967742;-4,221333333;-3,148387097;-2,363666667;-1,927096774;-1,644516129;-1,445
-2,5;-1,534;-1,419;-1,331935484;-1,448387097;-3,573928571;-4,412258065;-3,922666667;-3,172580645;-2,525;-2,133870968;-1,872903226;-1,686666667
-3;-1,747333333;-1,636;-1,547419355;-1,526129032;-2,799642857;-3,783225806;-3,581666667;-3,116129032;-2,624666667;-2,291935484;-2,059354839;-1,888
-3,5;-1,933333333;-1,829333333;-1,741935484;-1,68;-2,267857143;-3,148387097;-3,218;-3,002580645;-2,675666667;-2,413225806;-2,214193548;-2,061
-4;-2,088333333;-1,993333333;-1,911290323;-1,840645161;-1,973571429;-2,576129032;-2,850333333;-2,843548387;-2,674;-2,491290323;-2,331612903;-2,201333333
-4,5;-2,186333333;-2,105;-2,030645161;-1,964193548;-1,9525;-2,230967742;-2,528;-2,635483871;-2,595;-2,492258065;-2,380967742;-2,279666667
-5;0,11;-0,03;-0,50;-1,44;-2,49;-3,24;-3,45;-3,26;-2,68;-1,85;-0,86;-0,16
