Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-3,794;-3,605666667;-3,438064516;-3,301935484;-3,355;-3,753548387;-4,273333333;-4,550322581;-4,571333333;-4,439677419;-4,233548387;-4,011
-5;-3,908666667;-3,750333333;-3,604193548;-3,474516129;-3,433214286;-3,620322581;-3,988;-4,282258065;-4,392;-4,357419355;-4,236129032;-4,079
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;0,71;-1,236;-6,975483871;-8,987741935;-8,585714286;-7,687096774;-3,942666667;-1,916451613;0,886;4,297741935;4,395483871;2,579666667
-0,5;0,349333333;-0,227666667;-4,446774194;-7,743548387;-7,857142857;-7,447741935;-4,156;-2,41516129;-0,856;1,24483871;2,434516129;1,571666667
-0,75;0,018666667;-0,128666667;-2,506774194;-6,541290323;-7,147142857;-7,083225806;-4,31;-2,780645161;-1,489;-0,569677419;0,582903226;0,53
-1;-0,326666667;-0,363666667;-1,520645161;-5,395483871;-6,440714286;-6,629677419;-4,406333333;-3,06;-1,933666667;-1,188064516;-0,58483871;-0,320666667
-1,5;-1,025;-0,943666667;-1,060645161;-3,351290323;-5,022857143;-5,588387097;-4,435333333;-3,439354839;-2,579666667;-1,95483871;-1,489032258;-1,187666667
-2;-1,562333333;-1,429666667;-1,342258065;-2,082580645;-3,701428571;-4,526129032;-4,231666667;-3,588387097;-2,967333333;-2,455806452;-2,059032258;-1,764666667
-2,5;-1,940666667;-1,795333333;-1,683870968;-1,783225806;-2,731428571;-3,604193548;-3,825;-3,521290323;-3,121333333;-2,734193548;-2,404193548;-2,143666667
-3;-2,201666667;-2,059;-1,943548387;-1,886129032;-2,247142857;-2,920322581;-3,351;-3,317741935;-3,111666667;-2,851935484;-2,601935484;-2,384333333
-3,5;-2,37;-2,243;-2,133870968;-2,047096774;-2,122142857;-2,506451613;-2,923666667;-3,059677419;-3,004;-2,86;-2,689032258;-2,522333333
-4;-2,466666667;-2,361666667;-2,266129032;-2,181935484;-2,155;-2,316129032;-2,610333333;-2,806451613;-2,851;-2,798709677;-2,698064516;-2,584
-4,5;-2,507666667;-2,427;-2,348709677;-2,276129032;-2,225;-2,262903226;-2,424;-2,599032258;-2,691;-2,701935484;-2,658709677;-2,59
-5;-2,508666667;-2,452666667;-2,392580645;-2,333548387;-2,283214286;-2,268387097;-2,335666667;-2,45516129;-2,550666667;-2,594516129;-2,592580645;-2,56
