Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-3,189032258;-3,049666667;-2,92516129;-2,81483871;-2,786428571;-2,999354839;-3,361666667;-3,612258065;-3,676666667;-3,608064516;-3,479032258;-3,335333333
-5;-3,239677419;-3,13;-3,02483871;-2,926774194;-2,864642857;-2,931612903;-3,156;-3,379354839;-3,498333333;-3,504193548;-3,440967742;-3,348
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84714286;-12,91548387;-6,320333333;0,682258065;6,068333333;14,32290323;12,74193548;6,557666667
-0,25;0,774516129;-1,042;-4,836451613;-7,981935484;-8,746785714;-5,774516129;-3,626666667;-1,287741935;0,257;3,092258065;3,53483871;1,983
-0,5;0,360322581;-0,208666667;-2,826774194;-6,69483871;-7,921785714;-5,497096774;-3,893666667;-1,906774194;-0,789666667;0,460645161;1,617096774;1,093
-0,75;-0,051290323;-0,166;-1,441612903;-5,480967742;-7,034642857;-5,249677419;-4,031333333;-2,320645161;-1,269333333;-0,713548387;0,012258065;0,204
-1;-0,427096774;-0,422333333;-0,9;-4,355483871;-6,131785714;-4,996129032;-4,068333333;-2,613870968;-1,648666667;-1,162258065;-0,738064516;-0,467666667
-1,5;-1,02483871;-0,94;-0,927096774;-2,507419355;-4,385;-4,401935484;-3,926;-2,977741935;-2,214333333;-1,773548387;-1,429032258;-1,175
-2;-1,478064516;-1,357666667;-1,272258065;-1,621290323;-2,961071429;-3,666774194;-3,581333333;-3,088387097;-2,552666667;-2,16483871;-1,876129032;-1,649
-2,5;-1,78483871;-1,660333333;-1,564193548;-1,55516129;-2,124642857;-2,915483871;-3,137;-2,983225806;-2,670333333;-2,373870968;-2,135483871;-1,941333333
-3;-1,977419355;-1,865333333;-1,772580645;-1,703225806;-1,838928571;-2,35483871;-2,703666667;-2,765806452;-2,633333333;-2,44483871;-2,267096774;-2,111666667
-3,5;-2,09;-1,995333333;-1,913225806;-1,841935484;-1,831428571;-2,054193548;-2,358333333;-2,517741935;-2,514;-2,424193548;-2,310645161;-2,197666667
-4;-2,143870968;-2,069;-2,000322581;-1,937419355;-1,895357143;-1,953548387;-2,137333333;-2,298387097;-2,365666667;-2,349354839;-2,291935484;-2,22
-4,5;-2,152580645;-2,100333333;-2,046451613;-1,99483871;-1,952142857;-1,946451613;-2,024333333;-2,140967742;-2,224333333;-2,25;-2,237741935;-2,201333333
-5;-2,132258065;-2,099;-2,061935484;-2,021935484;-1,985714286;-1,961935484;-1,98;-2,043870968;-2,112666667;-2,155806452;-2,17;-2,157333333
