Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-1,68;-1,622666667;-1,566129032;-1,513548387;-1,469642857;-1,49483871;-1,738;-1,885806452;-1,893;-1,847741935;-1,792903226;-1,737666667
-5;1,86;1,79;1,15;-0,08;-1,43;-2,55;-2,92;-2,42;-1,48;-0,56;0,51;1,45
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);4,387666667;-3,812333333;-12,21516129;-16,30290323;-17,68714286;-8,108709677;-1,053666667;5,183225806;5,843666667;11,63322581;11,06935484;7,278333333
-0,25;2,035;0,08;-0,996451613;-4,16;-6,824285714;-4,786451613;-2,429;-0,874193548;-0,272666667;1,317096774;2,947419355;3,219
-0,5;1,362666667;0,117333333;-0,061935484;-1,250322581;-5,17;-4,777741935;-2,726;-1,377741935;-0,844666667;-0,612903226;0,111612903;1,892666667
-0,75;0,667333333;0,027;-0,104193548;-0,498709677;-3,822857143;-4,405483871;-2,715333333;-1,53483871;-1,010666667;-0,766451613;-0,517741935;0,552333333
-1;-0,004;-0,103666667;-0,18483871;-0,250322581;-2,571071429;-3,98483871;-2,666;-1,646129032;-1,146;-0,889354839;-0,704193548;-0,32
-1,5;-0,567;-0,471666667;-0,430645161;-0,415483871;-1;-3,043548387;-2,473333333;-1,757741935;-1,324333333;-1,070322581;-0,900322581;-0,725666667
-2;-0,761333333;-0,678;-0,623548387;-0,588709677;-0,630357143;-2,107096774;-2,191;-1,749354839;-1,404;-1,179032258;-1,022903226;-0,889666667
-2,5;-0,885;-0,807333333;-0,750645161;-0,711935484;-0,686785714;-1,403870968;-1,856333333;-1,648709677;-1,405333333;-1,225806452;-1,093870968;-0,988
-3;-0,966;-0,901333333;-0,849032258;-0,81;-0,780714286;-1,04483871;-1,511666667;-1,48516129;-1,346;-1,22483871;-1,12483871;-1,044666667
-3,5;-1,017;-0,968666667;-0,925806452;-0,890322581;-0,861428571;-0,920645161;-1,202666667;-1,28516129;-1,246333333;-1,186129032;-1,125483871;-1,071333333
-4;-1,040666667;-1,008666667;-0,977741935;-0,949354839;-0,925;-0,911935484;-0,989333333;-1,090322581;-1,127333333;-1,121935484;-1,099677419;-1,071666667
-4,5;-1,023666667;-1,006;-0,988387097;-0,969032258;-0,951785714;-0,934516129;-0,936;-0,976129032;-1,017666667;-1,037741935;-1,04;-1,036
-5;1,55;1,49;1,02;0,14;-0,82;-1,61;-1,88;-1,53;-0,86;-0,20;0,57;1,26
