Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-2,045806452;-1,993;-1,940967742;-1,891612903;-1,848214286;-1,831290323;-1,906333333;-2,035483871;-2,124;-2,15;-2,133548387;-2,096333333
-5;-2,025806452;-1,993;-1,956451613;-1,919677419;-1,885;-1,856451613;-1,867333333;-1,932580645;-2,006;-2,050322581;-2,06;-2,051666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,934516129;-4,642333333;-13,20096774;-17,78483871;-16,72607143;-8,554193548;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;1,068387097;-0,718;-3,81483871;-6,71483871;-7,077142857;-4,123870968;-2,447666667;-0,195483871;1,574;4,266451613;4,310322581;2,626333333
-0,5;0,69;-0,129666667;-1,747096774;-5,049032258;-6,158571429;-3,969032258;-2,649666667;-1,059677419;-0,261666667;1,688387097;2,57516129;1,740333333
-0,75;0,291935484;-0,069666667;-0,520645161;-3,47516129;-5,2;-3,770967742;-2,724666667;-1,434516129;-0,817333333;-0,172580645;0,854193548;0,829666667
-1;-0,115806452;-0,195;-0,272903226;-2,136774194;-4,240714286;-3,519354839;-2,702333333;-1,673548387;-1,110333333;-0,763870968;-0,336129032;-0,021333333
-1,5;-0,703548387;-0,643666667;-0,609354839;-0,91516129;-2,456428571;-2,851935484;-2,472666667;-1,910645161;-1,499333333;-1,229354839;-0,995806452;-0,816666667
-2;-1,040645161;-0,956;-0,89483871;-0,867741935;-1,313571429;-2,040645161;-2,094666667;-1,901935484;-1,661;-1,469677419;-1,303225806;-1,157333333
-2,5;-1,231935484;-1,153333333;-1,089032258;-1,036774194;-1,071428571;-1,415806452;-1,681;-1,716129032;-1,634;-1,528387097;-1,423225806;-1,323666667
-3;-1,314516129;-1,256333333;-1,203548387;-1,156129032;-1,124642857;-1,196129032;-1,372666667;-1,488387097;-1,508666667;-1,480967742;-1,432258065;-1,375
-3,5;-1,327096774;-1,292;-1,25483871;-1,218709677;-1,187857143;-1,177741935;-1,235;-1,317741935;-1,373333333;-1,39;-1,381935484;-1,359666667
-4;-1,299677419;-1,283;-1,261612903;-1,238709677;-1,216071429;-1,195483871;-1,198333333;-1,230645161;-1,271;-1,299677419;-1,31;-1,31
-4,5;-1,256129032;-1,25;-1,241612903;-1,228064516;-1,215;-1,200645161;-1,19;-1,193870968;-1,210333333;-1,230645161;-1,246129032;-1,254
-5;-1,21;-1,21;-1,21;-1,200322581;-1,195714286;-1,187096774;-1,179;-1,17;-1,175333333;-1,183870968;-1,194193548;-1,201333333
