Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-3,047666667;-2,897333333;-2,76516129;-2,658064516;-2,917142857;-3,675806452;-4,072666667;-4,113548387;-3,936;-3,673548387;-3,431290323;-3,227666667
-5;-0,50;-0,55;-1,08;-2,22;-3,55;-4,57;-4,92;-4,77;-4,12;-3,12;-1,89;-0,89
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,269354839;-5,811666667;-13,90516129;-18,79064516;-18,60142857;-11,46903226;-7,439;-0,740967742;3,767666667;9,180967742;8,640645161;4,153666667
-0,25;0,366333333;-0,107666667;-1,744193548;-6,509032258;-8,670714286;-5,931290323;-4,419;-2,291290323;-0,921;-0,206451613;1,214193548;0,874666667
-0,5;-0,307333333;-0,255666667;-0,269354839;-4,34516129;-7,91;-5,968709677;-4,578333333;-2,81516129;-1,467666667;-0,937419355;-0,63;-0,424333333
-0,75;-0,551333333;-0,481;-0,444193548;-3,333548387;-7,188928571;-5,836774194;-4,552333333;-2,988387097;-1,716;-1,181612903;-0,867419355;-0,671666667
-1;-0,739666667;-0,66;-0,608064516;-2,600322581;-6,484642857;-5,674193548;-4,499333333;-3,11516129;-1,925;-1,390967742;-1,072580645;-0,869333333
-1,5;-1,057;-0,959333333;-0,889354839;-1,732580645;-5,166785714;-5,251290323;-4,324;-3,257096774;-2,244666667;-1,726774194;-1,414193548;-1,205333333
-2;-1,328;-1,221;-1,140322581;-1,400645161;-4,023571429;-4,729032258;-4,073333333;-3,283225806;-2,458666667;-1,977096774;-1,682903226;-1,48
-2,5;-1,559333333;-1,45;-1,364516129;-1,387419355;-3,113571429;-4,140967742;-3,769;-3,223870968;-2,589;-2,165806452;-1,89483871;-1,705666667
-3;-1,757;-1,652666667;-1,565483871;-1,516129032;-2,475714286;-3,528709677;-3,428333333;-3,102258065;-2,653666667;-2,305806452;-2,065806452;-1,893666667
-3,5;-1,928333333;-1,829333333;-1,746129032;-1,678709677;-2,083214286;-2,929354839;-3,065333333;-2,939354839;-2,666666667;-2,40516129;-2,20516129;-2,053333333
-4;-2,071666667;-1,980333333;-1,901935484;-1,832903226;-1,899642857;-2,412580645;-2,706333333;-2,74483871;-2,630666667;-2,460967742;-2,307741935;-2,181
-4,5;-2,158;-2,080333333;-2,009677419;-1,946774194;-1,918928571;-2,126774194;-2,406;-2,530322581;-2,526333333;-2,444516129;-2,343225806;-2,247333333
-5;-0,16;-0,21;-0,60;-1,40;-2,34;-3,06;-3,30;-3,21;-2,76;-2,05;-1,16;-0,44
