Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-3,488064516;-3,325;-3,177741935;-3,050967742;-3,058214286;-3,408387097;-3,894666667;-4,136774194;-4,145;-4,021290323;-3,846774194;-3,665666667
-5;-3,573548387;-3,439333333;-3,314193548;-3,197741935;-3,138928571;-3,283548387;-3,618;-3,879677419;-3,973666667;-3,939354839;-3,837419355;-3,710333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33064516;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;1,114193548;-1,046333333;-5,583548387;-9,527741935;-9,970357143;-6,11;-3,370666667;-1,176774194;0,570333333;3,657741935;4,390322581;2,438666667
-0,5;0,620967742;-0,199666667;-3,251290323;-8,056129032;-8,974285714;-6;-3,696;-1,809354839;-0,757333333;0,849032258;2,257419355;1,467666667
-0,75;0,127741935;-0,12;-1,583225806;-6,643870968;-7,954642857;-5,859032258;-3,906;-2,259032258;-1,280333333;-0,620322581;0,368709677;0,467666667
-1;-0,323225806;-0,344333333;-0,890967742;-5,311290323;-6,946071429;-5,661290323;-4,024;-2,59483871;-1,683;-1,137741935;-0,655483871;-0,343666667
-1,5;-1;-0,912666667;-0,897741935;-3,028064516;-5,034285714;-5,084516129;-4,055;-3,050322581;-2,292;-1,816451613;-1,438709677;-1,159
-2;-1,500322581;-1,372;-1,280322581;-1,818387097;-3,459642857;-4,276451613;-3,859666667;-3,24483871;-2,672;-2,258709677;-1,936774194;-1,687
-2,5;-1,84483871;-1,71;-1,605483871;-1,629032258;-2,450357143;-3,405806452;-3,491;-3,207741935;-2,832333333;-2,50516129;-2,238387097;-2,020666667
-3;-2,071935484;-1,945;-1,842258065;-1,770645161;-2,022857143;-2,710967742;-3,062666667;-3,027741935;-2,834333333;-2,610645161;-2,403870968;-2,226
-3,5;-2,213548387;-2,102666667;-2,007741935;-1,927741935;-1,952142857;-2,298709677;-2,673;-2,791612903;-2,739333333;-2,61516129;-2,473225806;-2,338333333
-4;-2,289354839;-2,200333333;-2,118709677;-2,045483871;-2,005714286;-2,127741935;-2,388;-2,558064516;-2,598;-2,555806452;-2,474516129;-2,382666667
-4,5;-2,316129032;-2,249666667;-2,18483871;-2,122580645;-2,072857143;-2,089032258;-2,223;-2,371935484;-2,452333333;-2,46483871;-2,432258065;-2,378666667
-5;-2,307096774;-2,262333333;-2,21483871;-2,165806452;-2,121428571;-2,101290323;-2,148333333;-2,245483871;-2,325666667;-2,36516129;-2,366774194;-2,344333333
