Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-5;0,020333333;-0,161333333;-0,888387097;-2,401290323;-3,918571429;-5,008387097;-5,555666667;-5,271935484;-4,528666667;-3,191612903;-1,560322581;-0,387
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;0,905;-2,73;-8,438387097;-9,562903226;-8,920357143;-7,96516129;-3,826;-1,315806452;3,678333333;6,690645161;6,082258065;3,577333333
-0,5;1,063666667;-2,123333333;-7,319677419;-8,894193548;-8,580357143;-7,970645161;-4,116333333;-1,78;2,754;5,811935484;5,789354839;3,574333333
-0,75;1,195333333;-1,599666667;-6,323548387;-8,242258065;-8,252142857;-7,85;-4,367;-2,174516129;1,915666667;4,993870968;5,448709677;3,518
-1;1,303333333;-1,147666667;-5,426451613;-7,611290323;-7,915714286;-7,667741935;-4,582666667;-2,512903226;1,157666667;4,22;5,067096774;3,424333333
-1,5;1,447;-0,466;-3,930322581;-6,424193548;-7,188214286;-7,16516129;-4,887;-3,03483871;-0,103333333;2,833870968;4,207419355;3,140333333
-2;1,49;-0,025666667;-2,79;-5,341612903;-6,412142857;-6,583225806;-5,022333333;-3,399354839;-1,068333333;1,647419355;3,295483871;2,764666667
-2,5;1,434666667;0,233666667;-1,942903226;-4,376774194;-5,626428571;-5,974516129;-5,005666667;-3,636451613;-1,781333333;0,647419355;2,39483871;2,325333333
-3;1,293;0,361333333;-1,337096774;-3,541612903;-4,871428571;-5,373225806;-4,868333333;-3,764193548;-2,289;-0,18;1,554193548;1,849
-3,5;1,084333333;0,389666667;-0,920322581;-2,842580645;-4,174285714;-4,799354839;-4,643;-3,802258065;-2,635;-0,847096774;0,799677419;1,356
-4;0,831;0,345666667;-0,650322581;-2,275483871;-3,552142857;-4,261935484;-4,357666667;-3,764193548;-2,853666667;-1,372258065;0,141290323;0,869
-4,5;0,550333333;0,247;-0,493225806;-1,829677419;-3,014642857;-3,769032258;-4,042333333;-3,667741935;-2,972666667;-1,770967742;-0,416451613;0,404333333
-5;0,257666667;0,109666667;-0,421290323;-1,491935484;-2,559642857;-3,327096774;-3,715333333;-3,527741935;-3,016;-2,060645161;-0,877419355;-0,026333333
