Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-3,161333333;-2,982666667;-2,831290323;-2,713225806;-3,113928571;-4,070322581;-4,619;-4,512258065;-4,169333333;-3,856129032;-3,594516129;-3,370333333
-5;0,09;-0,02;-0,73;-2,14;-3,74;-4,95;-5,50;-5,08;-4,20;-3,06;-1,47;-0,32
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,044333333;-6,566333333;-16,79;-22,30967742;-19,52142857;-15,80258065;-4,691;-0,122903226;5,575666667;13,51193548;10,00193548;5,601333333
-0,25;0,967;-0,127666667;-2,518387097;-7,880645161;-9,318571429;-8,189677419;-3,886333333;-1,490967742;-0,858;0,780322581;2,243870968;1,999
-0,5;0,380333333;-0,037;-0,182903226;-5,468064516;-8,729642857;-8,008709677;-4,416333333;-2,051290323;-1,329666667;-0,858064516;-0,462903226;0,474333333
-0,75;-0,156666667;-0,202;-0,257741935;-4,032580645;-8,053571429;-7,654516129;-4,558666667;-2,320322581;-1,563666667;-1,112903226;-0,76516129;-0,372666667
-1;-0,486;-0,423333333;-0,42;-2,997096774;-7,370714286;-7,279354839;-4,645666667;-2,546451613;-1,766666667;-1,331612903;-0,997096774;-0,708666667
-1,5;-0,910666667;-0,799666667;-0,744193548;-1,837419355;-6,013928571;-6,487096774;-4,669333333;-2,883225806;-2,095666667;-1,683870968;-1,373225806;-1,125333333
-2;-1,245;-1,114333333;-1,032903226;-1,381935484;-4,743214286;-5,666774194;-4,530666667;-3,08483871;-2,342666667;-1,953870968;-1,668064516;-1,445
-2,5;-1,523333333;-1,390666667;-1,295483871;-1,336129032;-3,653571429;-4,845806452;-4,263666667;-3,174516129;-2,523;-2,164516129;-1,90483871;-1,703666667
-3;-1,757666667;-1,631;-1,532903226;-1,480322581;-2,826428571;-4,047741935;-3,908;-3,172258065;-2,646666667;-2,332580645;-2,098709677;-1,918333333
-3,5;-1,96;-1,843;-1,746451613;-1,672903226;-2,274285714;-3,294193548;-3,491666667;-3,101935484;-2,721333333;-2,462258065;-2,261612903;-2,101333333
-4;-2,129;-2,024666667;-1,932580645;-1,855483871;-1,98;-2,644516129;-3,052666667;-2,970645161;-2,746666667;-2,550322581;-2,388064516;-2,250666667
-4,5;-2,237;-2,147666667;-2,066129032;-1,992580645;-1,9725;-2,270322581;-2,658;-2,763225806;-2,683333333;-2,561935484;-2,443548387;-2,336
-5;0,30;0,20;-0,32;-1,32;-2,44;-3,29;-3,68;-3,40;-2,80;-1,99;-0,83;0,01
