Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-3,546333333;-3,379;-3,228064516;-3,098387097;-3,106071429;-3,466774194;-3,982333333;-4,261290323;-4,251;-4,108064516;-3,925483871;-3,736333333
-5;-3,640666667;-3,503;-3,372580645;-3,252903226;-3,193214286;-3,34483871;-3,693;-3,986774194;-4,079333333;-4,032580645;-3,921290323;-3,787
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72258065;-23,54774194;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;1,057333333;-1,314333333;-5,95;-9,505806452;-9,048214286;-7,694516129;-3,160333333;-0,934193548;0,239;4,47483871;4,18516129;2,462666667
-0,5;0,577333333;-0,287333333;-3,690967742;-7,97;-8,307857143;-7,383548387;-3,650333333;-1,51483871;-0,911333333;1,179032258;2,320645161;1,496333333
-0,75;0,116333333;-0,132333333;-1,965483871;-6,550322581;-7,540357143;-6,98;-3,978333333;-1,991612903;-1,378666667;-0,606774194;0,541935484;0,497
-1;-0,309666667;-0,341666667;-1,142903226;-5,245806452;-6,748571429;-6,513870968;-4,184;-2,385483871;-1,743333333;-1,172258065;-0,584516129;-0,323666667
-1,5;-0,997333333;-0,913666667;-0,947741935;-3,044193548;-5,127857143;-5,482903226;-4,323;-2,98;-2,314666667;-1,860967742;-1,438709677;-1,155
-2;-1,511;-1,383;-1,294193548;-1,846774194;-3,625;-4,426451613;-4,142333333;-3,290645161;-2,695666667;-2,305806452;-1,966774194;-1,700666667
-2,5;-1,867333333;-1,731666667;-1,62516129;-1,657096774;-2,568571429;-3,49;-3,721666667;-3,317741935;-2,879333333;-2,558709677;-2,284193548;-2,051666667
-3;-2,106666667;-1,977333333;-1,871290323;-1,801290323;-2,0925;-2,789032258;-3,228333333;-3,160645161;-2,907333333;-2,672903226;-2,460645161;-2,271666667
-3,5;-2,260333333;-2,146;-2,046451613;-1,963548387;-2,001785714;-2,369677419;-2,788666667;-2,918387097;-2,83;-2,687741935;-2,538709677;-2,394666667
-4;-2,345;-2,251666667;-2,165806452;-2,088387097;-2,05;-2,187741935;-2,472666667;-2,668064516;-2,696;-2,635806452;-2,545806452;-2,448
-4,5;-2,378333333;-2,308;-2,239032258;-2,172258065;-2,121071429;-2,145483871;-2,293333333;-2,463225806;-2,547;-2,548387097;-2,508387097;-2,448666667
-5;-2,374333333;-2,326666667;-2,274193548;-2,221290323;-2,175;-2,15516129;-2,210666667;-2,322580645;-2,412;-2,447741935;-2,44516129;-2,417333333
