Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-2,363;-2,120666667;-1,929032258;-1,788387097;-1,903928571;-2,536451613;-3,198;-3,5;-3,475333333;-3,257741935;-2,97;-2,665
-5;-2,515333333;-2,288333333;-2,096774194;-1,942580645;-1,928928571;-2,308387097;-2,889333333;-3,259032258;-3,350333333;-3,237419355;-3,026129032;-2,776666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,69964286;-12,59709677;-6,412333333;-0,057096774;5,419333333;13,31741935;14,12258065;7,552
-0,25;1,200333333;-1,457333333;-6,091290323;-9,02;-9,518928571;-5,787741935;-3,238666667;-0,551612903;1,275666667;4,413548387;5,133548387;2,868333333
-0,5;0,872666667;-0,129666667;-3,44483871;-6,642580645;-7,8975;-5,498387097;-3,585666667;-1,380967742;-0,311666667;1,755483871;3,138064516;2,032666667
-0,75;0,594333333;0,058666667;-1,525806452;-4,845806452;-6,591071429;-5,27516129;-3,791;-1,956774194;-0,923666667;0,110322581;1,657096774;1,372666667
-1;0,394666667;0,037;-0,664193548;-3,703548387;-5,693571429;-5,061612903;-3,833;-2,261612903;-1,255;-0,531612903;0,73483871;0,905
-1,5;-0,040333333;-0,097666667;-0,179354839;-1,862903226;-4,076071429;-4,470322581;-3,729;-2,636451613;-1,746333333;-1,183225806;-0,562258065;-0,055666667
-2;-0,506333333;-0,441333333;-0,422903226;-0,97483871;-2,795357143;-3,730322581;-3,450333333;-2,763870968;-2,051333333;-1,561935484;-1,102580645;-0,702
-2,5;-0,874;-0,755333333;-0,688387097;-0,788709677;-1,891785714;-2,983225806;-3,085;-2,729032258;-2,215;-1,804193548;-1,439677419;-1,103333333
-3;-1,157333333;-1,015666667;-0,92;-0,883870968;-1,385714286;-2,332580645;-2,689;-2,588709677;-2,266;-1,946451613;-1,659032258;-1,382333333
-3,5;-1,370666667;-1,223333333;-1,11483871;-1,038064516;-1,2025;-1,852580645;-2,312333333;-2,391290323;-2,236333333;-2,014516129;-1,793870968;-1,573
-4;-1,525666667;-1,383333333;-1,270322581;-1,180645161;-1,194642857;-1,558064516;-1,990666667;-2,179677419;-2,156666667;-2,027096774;-1,868709677;-1,697
-4,5;-1,63;-1,501666667;-1,39;-1,297419355;-1,250714286;-1,413548387;-1,748333333;-1,982903226;-2,054666667;-2,003870968;-1,899032258;-1,771666667
-5;-1,694333333;-1,582;-1,477419355;-1,385483871;-1,319642857;-1,367419355;-1,590666667;-1,82516129;-1,95;-1,959354839;-1,900322581;-1,807666667
