Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-1,493;-1,294;-1,152903226;-1,699354839;-4,056071429;-5,643225806;-5,645666667;-4,876774194;-3,757333333;-2,882580645;-2,248709677;-1,803333333
-5;-1,705;-1,487666667;-1,329032258;-1,625483871;-3,521071429;-5,087741935;-5,353333333;-4,83483871;-3,906;-3,093870968;-2,478064516;-2,029
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;1,211333333;-0,964666667;-5,387096774;-8,936129032;-9,816071429;-5,980645161;-3,369333333;-0,782258065;0,628666667;3,616451613;4,609677419;2,688666667
-0,5;0,973333333;-0,09;-3,338709677;-7,639677419;-9,278571429;-6,012903226;-3,641666667;-1,122903226;-0,160666667;1,64516129;3,189032258;2,091
-0,75;0,718;0,105;-1,469032258;-6,397419355;-8,7;-6,04;-3,859333333;-1,441935484;-0,412333333;0,223870968;1,783548387;1,461
-1;0,449666667;0,107333333;-0,307741935;-5,231290323;-8,107857143;-6,044516129;-4,025666667;-1,732580645;-0,625;-0,212903226;0,481290323;0,809666667
-1,5;-0,048333333;-0,03;-0,03;-3,413870968;-6,959642857;-5,951612903;-4,240666667;-2,226451613;-1,024333333;-0,538064516;-0,256774194;-0,105333333
-2;-0,239666667;-0,198;-0,174516129;-2,487096774;-5,911428571;-5,727096774;-4,331333333;-2,608064516;-1,386333333;-0,838064516;-0,506774194;-0,324333333
-2,5;-0,409666667;-0,345666667;-0,30483871;-1,848387097;-4,986071429;-5,39516129;-4,329333333;-2,891612903;-1,707;-1,112258065;-0,745806452;-0,527333333
-3;-0,575666667;-0,490666667;-0,433548387;-1,433548387;-4,191071429;-4,994516129;-4,251;-3,083548387;-1,978;-1,359677419;-0,965483871;-0,721
-3,5;-0,735666667;-0,631666667;-0,559354839;-1,177096774;-3,517142857;-4,560967742;-4,123;-3,202903226;-2,204;-1,579354839;-1,170322581;-0,904666667
-4;-0,887;-0,767;-0,681935484;-1,040967742;-2,963928571;-4,123548387;-3,955;-3,257419355;-2,381666667;-1,770967742;-1,356129032;-1,075
-4,5;-1,030333333;-0,897333333;-0,8;-0,985806452;-2,519642857;-3,706451613;-3,762;-3,260645161;-2,514666667;-1,932903226;-1,52;-1,232
-5;-1,164333333;-1,019666667;-0,913225806;-0,985483871;-2,173214286;-3,320967742;-3,552333333;-3,224193548;-2,607;-2,067741935;-1,666451613;-1,375333333
