Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-3,375666667;-3,226666667;-3,089677419;-2,969677419;-2,952142857;-3,232903226;-3,658666667;-3,902903226;-3,941;-3,847419355;-3,700322581;-3,539333333
-5;-3,443;-3,323333333;-3,207419355;-3,100322581;-3,036071429;-3,138064516;-3,418666667;-3,659354839;-3,768;-3,75483871;-3,67483871;-3,566333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;0,954;-0,900666667;-4,973548387;-8,772903226;-9,431785714;-5,805806452;-3,535666667;-1,318709677;-0,060666667;2,707741935;3,855483871;2,265
-0,5;0,473333333;-0,174333333;-2,821612903;-7,365483871;-8,518214286;-5,677419355;-3,809666667;-1,881290323;-0,910333333;0,214193548;1,682258065;1,253333333
-0,75;-0,003333333;-0,156;-1,401935484;-6,03516129;-7,555357143;-5,530967742;-3,966333333;-2,29483871;-1,370666667;-0,797741935;-0,060645161;0,252
-1;-0,422333333;-0,417333333;-0,870645161;-4,798387097;-6,585714286;-5,338064516;-4,033333333;-2,609354839;-1,738;-1,230322581;-0,790645161;-0,485666667
-1,5;-1,051333333;-0,96;-0,936129032;-2,741935484;-4,743214286;-4,783870968;-3,978;-3,023548387;-2,296333333;-1,847096774;-1,490967742;-1,218333333
-2;-1,523;-1,396666667;-1,306129032;-1,723548387;-3,236428571;-4,017741935;-3,722333333;-3,183225806;-2,639666667;-2,248709677;-1,946129032;-1,707333333
-2,5;-1,844666667;-1,715333333;-1,612580645;-1,612258065;-2,311071429;-3,201290323;-3,332666667;-3,115483871;-2,773333333;-2,47;-2,219677419;-2,014333333
-3;-2,051666667;-1,933666667;-1,833870968;-1,761612903;-1,954642857;-2,568387097;-2,912333333;-2,920967742;-2,756333333;-2,554516129;-2,36483871;-2,2
-3,5;-2,178333333;-2,076;-1,986774194;-1,909354839;-1,915714286;-2,207096774;-2,548;-2,680967742;-2,652333333;-2,545483871;-2,419032258;-2,296
-4;-2,242666667;-2,161666667;-2,085483871;-2,016774194;-1,973928571;-2,066774194;-2,293;-2,458387097;-2,509;-2,478709677;-2,410322581;-2,328666667
-4,5;-2,260333333;-2,201;-2,142258065;-2,083870968;-2,036785714;-2,041612903;-2,151666667;-2,285483871;-2,366333333;-2,386451613;-2,362258065;-2,316666667
-5;-2,245666667;-2,207666667;-2,164193548;-2,12;-2,078571429;-2,05516129;-2,089666667;-2,171612903;-2,247333333;-2,287741935;-2,295483871;-2,278
