Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-3,037;-2,910333333;-2,793225806;-2,688709677;-2,653571429;-2,858064516;-3,218;-3,454193548;-3,505;-3,435483871;-3,313870968;-3,177
-5;-3,085;-2,983666667;-2,885483871;-2,793870968;-2,730357143;-2,79;-3,008666667;-3,222580645;-3,332333333;-3,334516129;-3,27483871;-3,186666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;0,754;-0,971666667;-5,053548387;-8,408064516;-8,848571429;-5,428709677;-3,183333333;-0,815483871;1,116;3,799032258;3,344516129;2,587666667
-0,5;0,401666667;-0,173666667;-2,813225806;-6,983548387;-8,008214286;-5,207419355;-3,508666667;-1,488387097;-0,536333333;1,127096774;1,736774194;1,538666667
-0,75;0,047333333;-0,130333333;-1,25483871;-5,640967742;-7,093928571;-5,013870968;-3,69;-1,924193548;-1,097333333;-0,477741935;0,267096774;0,480333333
-1;-0,318333333;-0,342;-0,679677419;-4,389032258;-6,15;-4,801290323;-3,757333333;-2,249354839;-1,479;-1,003548387;-0,607096774;-0,340333333
-1,5;-0,933;-0,856333333;-0,822258065;-2,361290323;-4,320357143;-4,260322581;-3,661666667;-2,678387097;-2,031;-1,62483871;-1,306129032;-1,078
-2;-1,379333333;-1,266666667;-1,186129032;-1,473225806;-2,825;-3,536451613;-3,356;-2,844193548;-2,355333333;-2,012258065;-1,746774194;-1,54
-2,5;-1,675333333;-1,562333333;-1,471935484;-1,444193548;-1,964642857;-2,76483871;-2,940333333;-2,773548387;-2,469666667;-2,209354839;-1,993870968;-1,821
-3;-1,856666667;-1,757333333;-1,671612903;-1,603548387;-1,702857143;-2,190967742;-2,524333333;-2,570967742;-2,441333333;-2,275483871;-2,117419355;-1,977666667
-3,5;-1,957333333;-1,875333333;-1,802580645;-1,736774194;-1,716785714;-1,900967742;-2,19;-2,334516129;-2,33;-2,251612903;-2,152903226;-2,052333333
-4;-2,000333333;-1,938;-1,879354839;-1,824193548;-1,784642857;-1,818387097;-1,978333333;-2,127419355;-2,187333333;-2,177741935;-2,129032258;-2,068
-4,5;-2,002666667;-1,959333333;-1,915806452;-1,872580645;-1,834285714;-1,821935484;-1,878;-1,98;-2,056333333;-2,081612903;-2,073548387;-2,044666667
-5;-1,979;-1,952;-1,922580645;-1,891612903;-1,860714286;-1,836774194;-1,844;-1,893548387;-1,952666667;-1,991935484;-2,006774194;-1,997666667
