Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
-4,5;-1,251;-1,083;-0,964516129;-1,319032258;-3,522857143;-5,06516129;-5,124333333;-4,331612903;-3,230333333;-2,438709677;-1,883870968;-1,509333333
-5;-1,435666667;-1,251333333;-1,118387097;-1,289032258;-3,019285714;-4,543548387;-4,831666667;-4,310967742;-3,38;-2,636774194;-2,091290323;-1,709333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;0,966666667;-1,187333333;-5,49516129;-8,478387097;-9,134642857;-5,617741935;-2,981333333;-0,173225806;2,038;4,74516129;3,911290323;3,019666667
-0,5;0,809666667;-0,180666667;-3,497096774;-7,084516129;-8,667857143;-5,557419355;-3,290333333;-0,661935484;0,479666667;2,888387097;2,882903226;2,412333333
-0,75;0,638666667;0,095333333;-1,598387097;-5,743870968;-8,138928571;-5,514516129;-3,536;-0,967741935;-0,183666667;1,086774194;1,864516129;1,771666667
-1;0,451333333;0,108666667;-0,36;-4,471935484;-7,575;-5,472258065;-3,720333333;-1,246774194;-0,392666667;0,026451613;0,857741935;1,103333333
-1,5;0,025333333;0,016333333;0,009354839;-2,447096774;-6,443928571;-5,343548387;-3,944333333;-1,730645161;-0,752;-0,369677419;-0,160645161;-0,029
-2;-0,177333333;-0,147333333;-0,131290323;-1,698387097;-5,3925;-5,125483871;-4,024;-2,11516129;-1,080333333;-0,630645161;-0,377096774;-0,246
-2,5;-0,322666667;-0,273;-0,240967742;-1,233548387;-4,461071429;-4,821290323;-3,997;-2,413870968;-1,372333333;-0,87483871;-0,580322581;-0,418
-3;-0,463;-0,395333333;-0,35;-0,955806452;-3,671071429;-4,452580645;-3,895666667;-2,626129032;-1,623;-1,094193548;-0,771935484;-0,582
-3,5;-0,6;-0,515;-0,456774194;-0,802580645;-3,014642857;-4,051612903;-3,746333333;-2,766129032;-1,833666667;-1,291612903;-0,950645161;-0,738666667
-4;-0,73;-0,631333333;-0,560967742;-0,738709677;-2,488571429;-3,64483871;-3,566;-2,840967742;-2,002333333;-1,464516129;-1,111935484;-0,884666667
-4,5;-0,853;-0,741666667;-0,661612903;-0,733870968;-2,077142857;-3,254193548;-3,365333333;-2,859354839;-2,131;-1,613225806;-1,257419355;-1,019666667
-5;-0,967;-0,846666667;-0,757741935;-0,763225806;-1,763928571;-2,895806452;-3,154666667;-2,835806452;-2,223666667;-1,736774194;-1,386129032;-1,143333333
